id,base_url,url,views,favorites,is_traditional,is_digital,Average_Hue,Average_Saturation,Average_Value,Average_Hue_Roughness,Average_Saturation_Roughness,Average_Value_Roughness,HUE_PALETTE_60,HUE_PALETTE_120,HUE_PALETTE_180,HUE_PALETTE_240,HUE_PALETTE_300,HUE_PALETTE_360,SAT_PALETTE_42,SAT_PALETTE_84,SAT_PALETTE_126,SAT_PALETTE_168,SAT_PALETTE_210,SAT_PALETTE_252,VAL_PALETTE_42,VAL_PALETTE_84,VAL_PALETTE_126,VAL_PALETTE_168,VAL_PALETTE_210,VAL_PALETTE_252,num_unique_hues,num_unique_sat,num_unique_vals,Value_Contrast,Color_Contrast,is_frontal_face,is_profile_face,face_size,face_x_20,face_x_40,face_x_60,face_x_80,face_x_100,face_y_20,face_y_40,face_y_60,face_y_80,face_y_100,eye_size,number_of_visible_eyes,eye_x_in_img_20,eye_x_in_img_40,eye_x_in_img_60,eye_x_in_img_80,eye_x_in_img_100,eye_y_in_img_20,eye_y_in_img_40,eye_y_in_img_60,eye_y_in_img_80,eye_y_in_img_100
11,http://designerrenan.deviantart.com/art/Princess-Mononoke-611157808,http://pre11.deviantart.net/3e3f/th/pre/i/2016/146/1/f/princess_mononoke_by_designerrenan-da3v8ds.png,130,56,0,1,78.4759476515,72.7159738558,122.452698217,31.196028837,82.3897929523,104.167213201,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,3,1,6,194.39515686,349.775726318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,http://skyblitzhart.deviantart.com/art/Mission-017-Modern-Mondie-611089592,http://pre15.deviantart.net/641e/th/pre/f/2016/146/6/d/mission_017__modern__mondie_by_skyblitzhart-da3trqw.png,143,56,0,1,80.8339889152,221.563291171,172.871126875,14.0372704267,18.6656097317,20.5946556087,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,1,6,209.055160522,148.839202881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,http://l1sett.deviantart.com/art/Aliks-the-barbarian-611158090,http://pre02.deviantart.net/b4f2/th/pre/i/2016/146/e/3/aliks_the_barbarian_by_l1sett-da3v8lm.jpg,193,56,0,1,27.6094843224,69.7184084385,144.576777043,33.1698510606,56.9747956472,55.856950504,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,1,5,163.496765137,62.309425354,1,0,0.0320475505531,0,0,1,0,0,1,0,0,0,0,0.067275390625,2,0,0,1,0,0,1,0,0,0,0
14,http://hassly.deviantart.com/art/Commission-Astriyah-Rose-611154784,http://pre07.deviantart.net/ed80/th/pre/f/2016/146/5/2/commission__astriyah_rose_by_hassly-da3v61s.jpg,162,55,0,1,20.3562073093,76.8459652865,119.419650011,15.0331300079,19.3628506172,22.9380584554,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,1,6,207.144332886,171.795944214,1,0,0.0557370851111,0,0,1,0,0,0,1,0,0,0,0.0654971811055,2,0,0,1,0,0,0,1,0,0,0
15,http://ristikettu.deviantart.com/art/Merman-Mark-611164271,http://pre03.deviantart.net/21d4/th/pre/i/2016/146/0/f/merman_mark_by_ristikettu-da3vddb.png,61,45,0,1,83.6704935962,95.292493263,195.380458355,20.7158256322,39.2952172571,46.9333474684,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,1,4,146.482879639,159.160018921,1,0,0.0157153004937,0,0,1,0,0,1,0,0,0,0,0.16868622449,1,0,0,1,0,0,1,0,0,0,0
16,http://nychse.deviantart.com/art/So-many-611117660,http://orig02.deviantart.net/4803/f/2016/146/c/7/so_many_by_nychse-da3udek.jpg,111,41,0,1,96.30384273,69.0719436202,128.574744477,70.4015585273,95.4541505696,99.2729783721,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,3,1,5,226.553787231,347.13168335,1,0,0.121965051105,0,0,1,0,0,0,0,1,0,0,0.0690993998702,2,0,0,1,0,0,0,1,0,0,0
17,http://enmoire.deviantart.com/art/Comm-Shion-611148511,http://pre08.deviantart.net/1cab/th/pre/i/2016/146/7/1/comm___shion_by_enmoire-da3v17j.jpg,53,40,0,1,83.8629153341,88.9940668338,220.935714858,40.5975471665,77.3234879287,75.3274411217,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,2,1,4,183.680358887,356.429016113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,http://ururuty.deviantart.com/art/unwanted-wedding-611143500,http://pre15.deviantart.net/f1ab/th/pre/f/2016/146/1/7/unwanted_wedding_by_ururuty-da3uxcc.png,100,38,0,1,31.4187023608,156.746525432,138.533076588,81.0208832806,108.370070722,108.098915001,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,6,221.393310547,36.5668678284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,http://neferu.deviantart.com/art/Phexdan-a-k-a-Feqzjian-DSA-610977777,http://pre06.deviantart.net/5300/th/pre/i/2016/146/d/3/phexdan_a_k_a__feqzjian__dsa__by_neferu-da3rdgx.jpg,133,38,0,1,43.8606588139,82.3489646925,108.686138938,42.2342076354,82.7268464875,100.028761902,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,3,1,5,166.260253906,241.269592285,1,0,0.248839094494,0,0,1,0,0,0,0,1,0,0,0.058637816968,2,0,0,1,0,0,0,1,0,0,0
20,http://kaylabirdee.deviantart.com/art/Rosalie-alt-palette-611097164,http://img13.deviantart.net/188c/i/2016/146/2/9/rosalie___alt_palette_by_kaylabirdee-da3txl8.png,123,37,0,1,29.4761113632,32.9527846214,197.56474893,16.838366262,20.6899837621,20.847814242,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,4,1,6,215.040328979,201.131546021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
