img_name, average_hue, average_saturation, average_value, average_hue_roughness, average_saturation_roughness, average_value_roughness, value_contrast, color_contrast
coronation_by_wlop-d9z7r9u.jpg, 113.67386726078799, 82.033107410881797, 139.50584720919323, 54.861355068306061, 87.804262044640936, 97.650208796069776, 176.75874, 286.12781
punch_baby_by_sakimichan-da0d37l.jpg, 76.742981283422466, 80.125430836397058, 97.060391512784093, 42.235635203161507, 82.381294399924727, 91.784831234546601, 182.20024, 345.29239
scared_of_the_light__speedpaint__by_destinyblue-d9xk4li.jpg, 52.638126019100859, 190.29596727230376, 96.203726997437684, 107.53064470511396, 111.45276021028508, 112.09902963293416, 211.12138, 108.76122
commission__april_slot_1____cheshyre__portrait__by_muju-d9ztks3.jpg, 12.071799292661362, 142.72799845269674, 47.601646772767459, 34.82131510542024, 79.89081400380006, 80.13282296947223, 128.06885, 4.8861895
__by_steyfi-d9zw73d.jpg, 51.697626634518222, 6.4122600122057367, 137.89053730253218, 24.242331349802647, 48.834896115084852, 115.60540512111558, 186.91338, 19.728432
moonlit_by_fdasuarez-d9zpbmf.jpg, 23.107071109693877, 15.278533340419502, 180.53378684807257, 28.351501403271758, 53.795665725242401, 108.00235444712156, 162.91751, 314.20566
colored_pencil_drawing_of_wonder_woman_by_jasminasusak-d9zxhjy.jpg, 63.615592872367102, 89.83189607886159, 143.12954488465397, 49.461900854077385, 98.048593483284648, 101.40788641584578, 204.41173, 320.64508
the_king_s_70th_birthday_by_almostastrid-da0vpwd.jpg, 24.340712997939562, 17.79402615613553, 192.54962296817766, 5.9348572574379022, 52.167039412200701, 108.66983124402479, 107.65595, 14.867226
lizbeth_scott_by_jenni1966-da10ufp.jpg, 84.256581393155187, 6.0534966208718037, 184.4420166015625, 28.467092108770995, 49.456828179152225, 93.993779436594693, 155.94949, 251.03517
practice_14_by_annamm-da0je6x.jpg, 130.99664509150199, 6.0557942049068201, 221.39520411527019, 11.484081793269549, 36.698169228435155, 103.10520674309302, 109.63838, 61.089828
naomi_neo_sketch_by_kaieechin-da0iwfn.jpg, 104.48388395061728, 12.093298765432099, 189.21950740740741, 10.041951551106168, 39.257720924483998, 108.5958867877889, 120.76459, 18.282379
quick_draw_0097_by_silverdragonleo-da0divx.png, 0.0, 0.0, 224.35301178313873, 0.0, 0.0, 73.203749476330117, 155.73154, 0.0
